nom_joueur,numero,poste,taille,poids,age,naissance,club,selections,numero_maillot,url_cv_image,url_page_principale,completeness_score,ocr_status,ocr_length,extraction_date
Barthélémy Chinenyeze,1,Central,199,81,27,,de u au Dunkerque,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/1%20Barth%C3%A9l%C3%A9my%20Chinenyeze.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1239&pos=0,100.0,,0,2025-06-13T17:07:50.959244
Jean Patry,4,Attaquant,199,94,29,,Volley,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/4%20Jean%20Patry.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1239&pos=2,100.0,,0,2025-06-13T17:07:57.265071
Benjamin Toniutti,6,Passeur,198,74,36,,de Sete,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/6%20Benjamin%20Toniutti.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1239&pos=3,100.0,,0,2025-06-13T17:08:04.468223
Kevin Tillie,7,Attaquant,199,75,35,,de France,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/7%20Kevin%20Tillie.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1239&pos=4,100.0,,0,2025-06-13T17:08:09.556950
Earvin Ngapeth,9,Attaquant,199,93,34,,de Tours,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/9%20Earvin%20Ngapeth.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1221&pos=5,100.0,,0,2025-06-13T17:08:14.643274
Antoine Brizard,11,Passeur,199,96,31,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/11%20Antoine%20Brizard.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1223&pos=6,100.0,,0,2025-06-13T17:08:18.476441
Nicolas Le Goff,14,Central,199,97,33,,professionnel,224,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/14%20Nicolas%20Le%20Goff.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1224&pos=7,100.0,,0,2025-06-13T17:08:22.946127
Trevor Clevenot,17,Attaquant,199,89,31,,de France cadets de volley ave,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/17%20Trevor%20Clevenot.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1225&pos=8,100.0,,0,2025-06-13T17:08:27.822047
Yacine Louati,19,Attaquant,199,92,33,,de Tourcoing Tourcoing,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/19%20Yacine%20Louati.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1226&pos=9,100.0,,0,2025-06-13T17:08:32.253519
Théo Faure,21,,199,84,26,,Volley,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/21%20Th%C3%A9o%20Faure.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1227&pos=10,83.3,,0,2025-06-13T17:08:35.641490
Timothee Carle,23,Attaquant,199,83,30,, qu,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/23%20Timothee%20Carle.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1228&pos=11,100.0,,0,2025-06-13T17:08:39.136716
Quentin Jouffroy,25,Central,199,100,32,,Volley,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/25%20Quentin%20Jouffroy.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1229&pos=12,100.0,,0,2025-06-13T17:08:43.090303
